Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (61440, 3))]",[],[],"[(61440, 3), (61440, 3)]","(61440, 3)"
nlist_dist,VECadd,"[('VECadd', (61440, 1))]",[],[],"[(61440, 3)]","(61440, 1)"
nlist_mask,MEM,"[('MEM', [(61440, 1)])]",[],[],"[(61440, 1)]","(61440, 1)"
env_matrix_gather,MEM,"[('MEM', [(512, 120, 4)])]",[],[],"[(61440, 3)]","(512, 120, 4)"
smooth_func,VECmul,"[('VECmul', (61440, 1))]",[],[],"[(61440, 1), (61440, 1)]","(61440, 1)"
emb_linear_0,Linear,"[('Linear', (61440, 1, 25))]",[],[],"[(61440, 1)]","(61440, 25)"
emb_act_0,VECtanh,"[('VECtanh', (61440, 25))]",[],[],"[(61440, 25)]","(61440, 25)"
emb_linear_1,Linear,"[('Linear', (61440, 25, 50))]",[],[],"[(61440, 25)]","(61440, 50)"
emb_act_1,VECtanh,"[('VECtanh', (61440, 50))]",[],[],"[(61440, 50)]","(61440, 50)"
emb_linear_2,Linear,"[('Linear', (61440, 50, 100))]",[],[],"[(61440, 50)]","(61440, 100)"
emb_act_2,VECtanh,"[('VECtanh', (61440, 100))]",[],[],"[(61440, 100)]","(61440, 100)"
desc_matmul_1,BMM,"[('BMM', (512, 100, 120, 4))]",[],[],"[(512, 120, 100)]","(512, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (512, 4, 100, 16))]",[],[],"[(512, 4, 100)]","(512, 4, 16)"
desc_reshape,MEM,"[('MEM', [(512, 64)])]",[],[],"[(512, 4, 16)]","(512, 64)"
fit_linear_0,Linear,"[('Linear', (512, 64, 240))]",[],[],"[(512, 64)]","(512, 240)"
fit_act_0,VECtanh,"[('VECtanh', (512, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_linear_1,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_act_1,VECtanh,"[('VECtanh', (512, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_residual_1,VECadd,"[('VECadd', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
fit_linear_2,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_act_2,VECtanh,"[('VECtanh', (512, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_residual_2,VECadd,"[('VECadd', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
output_linear,Linear,"[('Linear', (512, 240, 1))]",[],[],"[(512, 240)]","(512, 1)"
energy_sum,VECadd,"[('VECadd', (512, 1))]",[],[],"[(512, 1)]","(1,)"
fit_bw_input_2,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
fit_bw_input_1,Linear,"[('Linear', (512, 240, 240))]",[],[],"[(512, 240)]","(512, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
fit_bw_input_0,Linear,"[('Linear', (512, 240, 64))]",[],[],"[(512, 240)]","(512, 64)"
fit_bw_act_0,VECmul,"[('VECmul', (512, 240))]",[],[],"[(512, 240), (512, 240)]","(512, 240)"
output_bw,Linear,"[('Linear', (512, 1, 240))]",[],[],"[(512, 1)]","(512, 240)"
desc_bw_matmul,BMM,"[('BMM', (512, 120, 100, 4))]",[],[],"[(512, 100, 4)]","(512, 120, 100)"
emb_bw_input_2,Linear,"[('Linear', (61440, 100, 50))]",[],[],"[(61440, 100)]","(61440, 50)"
emb_bw_act_2,VECmul,"[('VECmul', (61440, 100))]",[],[],"[(61440, 100), (61440, 100)]","(61440, 100)"
emb_bw_input_1,Linear,"[('Linear', (61440, 50, 25))]",[],[],"[(61440, 50)]","(61440, 25)"
emb_bw_act_1,VECmul,"[('VECmul', (61440, 50))]",[],[],"[(61440, 50), (61440, 50)]","(61440, 50)"
emb_bw_input_0,Linear,"[('Linear', (61440, 25, 1))]",[],[],"[(61440, 25)]","(61440, 1)"
emb_bw_act_0,VECmul,"[('VECmul', (61440, 25))]",[],[],"[(61440, 25), (61440, 25)]","(61440, 25)"
